id,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31
1,835.2,323.4,408.7,442.1,548.8,513.5,561.4,447.8,530.4,524.7,571.4,591.0,619.2,671.5,685.2,534.2,654.1,626.2,666.6,628.1,654.1,697.5,1012.4,560.8,635.7,667.8,639.5,619.7,632.6,681.9,719.9,672.0
2,484.8,295.3,392.1,409.3,469.6,532.3,533.7,389.5,482.5,473.6,525.6,600.9,641.5,637.3,692.9,562.6,595.5,558.4,659.2,634.6,642.1,652.0,684.5,517.5,620.2,571.4,653.3,610.3,659.0,659.5,754.0,616.2
3,383.0,348.7,422.5,415.3,520.5,515.1,626.3,406.3,543.1,532.5,606.4,574.0,661.1,653.0,725.0,574.7,653.1,595.7,686.7,606.9,676.9,633.4,733.3,540.1,673.8,608.4,678.0,582.0,682.2,673.7,740.2,658.9
4,424.7,356.2,469.9,411.6,548.4,452.4,548.8,416.7,541.0,448.0,584.0,505.7,665.3,568.7,699.7,517.9,642.5,553.2,641.9,542.9,657.1,565.8,657.3,511.0,606.0,548.2,632.0,528.0,637.4,565.1,678.5,611.3
5,450.0,358.3,488.2,406.3,558.4,445.4,586.2,421.9,567.8,475.0,594.7,515.9,635.5,566.9,680.3,497.8,622.7,541.3,673.3,528.1,691.6,574.5,705.7,513.1,629.4,560.1,646.7,514.3,680.8,561.9,706.0,582.7
6,491.4,383.9,514.8,454.9,644.2,536.2,712.7,479.3,665.3,570.2,664.9,624.3,755.6,697.6,830.1,851.8,720.8,658.0,765.5,646.8,756.4,736.4,831.1,551.8,715.5,684.6,767.6,613.3,762.8,683.0,821.9,676.9
7,528.1,392.0,569.2,463.1,635.8,547.1,678.7,468.7,650.9,541.6,693.1,643.8,797.6,674.2,861.4,580.2,760.9,639.1,813.9,650.4,813.5,697.4,855.5,594.6,775.1,609.4,759.9,646.0,814.4,695.1,888.3,664.8
8,584.1,401.4,568.4,487.5,674.8,591.3,726.5,503.8,697.5,603.2,759.2,654.3,802.0,728.8,878.6,606.4,766.4,636.9,819.4,691.5,867.0,734.0,886.8,622.3,777.1,671.7,882.5,630.3,810.4,740.9,931.7,733.3
9,625.9,416.4,610.3,485.5,684.2,535.0,752.8,475.1,695.8,516.3,704.9,569.4,777.7,631.5,829.1,583.2,763.4,598.1,790.8,602.7,784.1,608.6,795.0,537.6,754.8,608.0,829.8,623.0,794.2,605.0,828.2,646.7
10,684.0,451.8,651.9,486.7,760.0,528.2,794.8,519.8,742.0,536.0,776.6,606.7,848.1,620.6,838.4,558.5,835.2,608.0,819.5,626.7,820.8,651.0,845.9,550.5,831.3,619.7,853.8,586.1,813.6,640.4,853.1,656.5
11,659.6,482.6,692.3,565.0,784.3,615.2,838.2,543.0,778.4,640.7,873.3,704.4,926.7,765.6,988.4,646.4,848.4,757.3,938.5,719.7,910.4,752.0,955.0,636.0,874.1,708.3,935.3,686.9,924.8,766.4,989.5,756.2
12,712.8,453.2,692.8,565.9,814.0,591.0,878.9,546.6,817.7,596.5,871.3,770.8,973.4,779.5,1024.9,677.8,918.5,690.7,929.2,786.9,955.1,774.1,1011.1,665.4,912.3,712.1,940.2,707.1,943.9,757.8,1007.2,737.1
13,729.8,466.4,765.4,567.8,842.5,643.3,910.8,573.9,882.8,630.9,895.0,711.8,992.3,778.5,1082.1,713.9,916.4,764.6,983.2,715.9,958.3,809.8,1028.9,666.7,923.3,733.4,996.5,719.6,958.1,776.7,1059.1,789.9
14,749.9,464.9,797.6,554.7,830.1,595.8,873.3,576.7,848.8,596.4,864.1,657.7,1010.2,718.5,979.6,643.8,907.4,668.3,944.7,672.2,953.3,667.6,988.4,624.2,927.5,642.5,970.3,651.6,932.3,722.9,974.0,742.9
15,814.1,498.3,790.2,571.4,858.2,627.1,881.7,572.0,893.9,594.1,896.8,708.5,1003.0,715.5,983.9,665.5,910.3,660.1,987.2,692.2,960.7,689.0,1004.2,613.3,928.1,685.3,1001.1,681.2,981.2,700.4,984.6,713.9
16,853.9,507.6,815.9,628.6,912.0,681.5,983.9,627.5,949.8,684.1,973.6,755.1,1066.0,808.1,1155.7,728.0,1034.8,792.8,1106.4,755.1,1091.6,832.7,1115.6,710.6,1038.3,783.9,1076.1,766.7,1081.5,844.0,1151.4,824.6
17,877.4,533.2,839.9,637.2,947.4,679.4,972.9,621.0,982.6,666.2,994.8,773.7,1113.9,844.4,1168.0,738.5,1079.3,763.8,1086.6,788.7,1102.6,836.1,1205.9,713.9,1094.8,756.5,1102.1,774.8,1116.0,842.2,1194.6,860.7
18,897.0,552.5,894.3,629.0,992.6,740.0,1062.0,624.6,1034.9,733.7,1065.6,768.2,1127.7,840.4,1199.1,746.0,1082.0,770.3,1165.4,800.1,1136.6,871.1,1202.7,765.8,1081.5,798.2,1147.3,787.1,1135.1,891.7,1212.8,873.3
19,910.9,562.9,921.3,637.6,1009.7,659.4,1027.0,622.7,1007.2,667.8,1024.9,749.4,1105.9,760.5,1113.8,719.3,1055.5,725.1,1090.0,733.6,1111.0,753.1,1174.8,735.4,1079.3,731.3,1123.4,746.4,1108.6,793.5,1119.0,807.9
20,948.0,550.9,958.1,651.9,1030.7,682.3,1061.6,627.6,1034.5,676.0,1061.6,745.5,1157.8,811.3,1162.8,745.9,1088.0,740.1,1113.1,747.6,1122.1,770.2,1152.2,700.6,1112.3,748.3,1131.0,748.1,1101.8,771.7,1159.0,790.3
21,975.2,587.4,971.6,719.0,1089.0,778.6,1181.2,688.6,1091.0,758.7,1164.6,814.6,1232.5,920.8,1274.6,781.7,1143.8,853.7,1251.1,812.1,1221.4,893.4,1297.5,759.3,1165.7,871.8,1229.4,844.0,1247.2,896.9,1262.3,895.5
22,1020.8,595.5,1012.2,683.5,1119.0,732.6,1194.1,687.6,1141.6,754.1,1134.7,861.4,1291.1,971.5,1347.7,816.3,1225.2,838.0,1296.7,847.9,1264.2,917.6,1363.3,803.0,1238.3,824.1,1245.6,843.5,1277.2,901.2,1322.5,880.2
23,1083.5,620.2,1064.6,760.6,1157.4,803.3,1235.7,722.2,1161.1,790.1,1220.2,829.6,1309.1,958.7,1373.5,799.6,1247.7,871.2,1330.5,841.5,1270.2,920.6,1394.6,825.8,1281.9,1176.8,1319.5,847.3,1272.7,934.9,1378.0,932.7
24,1073.0,616.2,1090.9,744.1,1157.5,781.6,1184.5,710.7,1207.8,741.9,1198.5,817.3,1264.0,834.8,1301.5,1123.6,1227.8,807.7,1282.3,805.5,1240.5,827.7,1323.8,773.5,1221.9,811.9,1267.7,801.2,1252.8,858.5,1283.5,851.0
25,1121.8,653.4,1124.2,697.9,1214.8,753.6,1233.1,712.9,1166.7,732.5,1207.9,794.5,1264.2,857.2,1333.9,821.8,1257.1,784.8,1305.1,803.7,1299.2,831.0,1343.7,764.6,1238.5,811.3,1296.7,816.2,1306.0,864.9,1296.1,876.3
26,1151.9,675.7,1137.3,771.1,1267.1,856.0,1321.2,761.4,1270.9,822.5,1324.0,917.6,1406.8,970.8,1440.6,858.1,1324.9,932.4,1428.5,912.5,1395.8,962.8,1441.1,839.0,1341.1,901.1,1387.9,902.5,1377.1,972.9,1435.9,958.0
27,1171.6,662.9,1155.2,761.8,1266.7,803.3,1306.7,766.3,1325.0,819.3,1321.2,924.4,1456.6,1007.9,1503.5,901.0,1362.9,907.6,1448.4,937.9,1466.8,973.9,1499.6,862.1,1390.5,913.7,1426.0,922.5,1406.9,1017.0,1469.0,962.1
28,1224.3,690.3,1210.1,819.8,1329.5,859.6,1378.6,783.7,1322.0,863.0,1351.6,925.6,1484.4,1000.4,1530.1,907.4,1381.7,961.3,1475.3,945.6,1475.6,1002.0,1535.2,894.2,1418.1,942.4,1465.9,906.2,1431.6,1025.9,1508.4,988.9
29,1254.3,688.0,1251.6,810.0,1322.7,812.6,1370.5,775.8,1309.3,816.0,1340.1,872.4,1424.7,962.5,1447.4,851.4,1362.4,893.4,1465.1,863.2,1435.6,899.1,1490.1,839.5,1393.2,897.0,1411.7,880.1,1413.6,916.0,1422.1,935.1
30,1260.6,707.2,1265.9,784.9,1339.4,809.5,1375.2,801.5,1344.5,807.6,1346.8,888.1,1442.4,945.9,1462.8,852.0,1384.7,904.8,1456.6,868.4,1441.4,934.4,1473.3,857.0,1410.6,885.2,1429.8,862.2,1441.4,920.4,1453.2,936.3
31,1302.1,733.0,1288.1,823.3,1385.1,927.1,1480.8,877.0,1413.0,904.9,1439.0,959.8,1544.0,1050.8,1611.3,925.2,1465.5,1020.1,1564.5,961.2,1537.0,1084.3,1584.3,917.3,1510.9,1008.5,1545.1,970.0,1546.2,1030.1,1589.7,1051.0
32,1318.2,755.4,1338.4,824.1,1420.2,919.5,1467.2,860.3,1425.0,886.2,1452.8,1036.6,1571.9,1084.5,1652.4,951.2,1525.5,993.4,1628.5,1039.0,1580.6,1064.6,1646.2,981.2,1542.0,1012.3,1586.2,993.5,1584.3,1139.5,1638.4,1045.1
